   5    13167.9     6383.1     101.3      
 238     8159.6     5143.9      72.7	  
 471     5031.2     4337.7      67.1	  
 704     3138.5     3685.0      66.3	  
 937     2211.0     3322.1      62.9	  
1170     1592.5     2915.5      57.4	  
1403     1234.9     2635.2      58.7	  
1636     1001.6     2437.6      60.2	  
1869      817.4     2206.3      56.3	  
2102      691.3     2025.8      52.1	  
2335      603.7     1868.9      60.3	  
2568      527.3     1695.0      50.9	  
2801      552.2     1620.2      61.4	  
3034       99.2     1508.2      55.2      
3267      463.5     1410.0      58.1	  
3500      455.5     1310.9      57.8	  


correct value 3034: 478.5
